1,2.0,1.0,0.0305328369140625,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
2,2.0,1.0,0.6931304931640625,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
3,1.0,1.0,0.6957855224609375,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,0.9735870361328125,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
5,1.0,1.0,0.6997222900390625,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
6,1.0,1.0,0.9680328369140625,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
7,1.0,1.0,0.4356842041015625,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
8,2.0,1.0,0.5200653076171875,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
9,1.0,1.0,0.9304656982421875,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
10,1.0,1.0,0.7976226806640625,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
11,2.0,1.0,0.2108306884765625,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
12,1.0,1.0,0.3613433837890625,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
13,2.0,2.0,0.3533477783203125,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
14,1.0,2.0,0.7006988525390625,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
15,1.0,1.0,0.7422637939453125,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
16,2.0,1.0,0.6728057861328125,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
17,1.0,2.0,0.3255157470703125,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
18,1.0,1.0,0.8050689697265625,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
19,2.0,2.0,0.3795013427734375,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
20,1.0,2.0,0.7165374755859375,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
21,1.0,2.0,0.9397125244140625,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
22,2.0,1.0,0.7390594482421875,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
23,2.0,1.0,0.8009185791015625,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
24,1.0,1.0,0.4016571044921875,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
25,1.0,2.0,0.1348419189453125,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
26,1.0,2.0,0.9621429443359375,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
27,2.0,2.0,0.0092315673828125,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0
28,1.0,2.0,0.3878631591796875,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
29,1.0,1.0,0.9661712646484375,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
30,1.0,1.0,0.1304168701171875,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
31,1.0,1.0,0.3092193603515625,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
