1,2.0,1.0,0.0305328369140625,1.0,1.0,1.0,2.0,2.0,1.0
2,1.0,2.0,0.7284088134765625,1.0,2.0,2.0,3.0,2.0,1.0
3,1.0,1.0,0.0063018798828125,2.0,1.0,1.0,1.0,1.0,1.0
4,2.0,1.0,0.7855682373046875,1.0,1.0,2.0,1.0,1.0,1.0
5,1.0,2.0,0.6450042724609375,2.0,1.0,1.0,1.0,2.0,1.0
6,2.0,1.0,0.8074798583984375,2.0,1.0,2.0,2.0,2.0,1.0
7,1.0,2.0,0.7548065185546875,1.0,2.0,1.0,1.0,1.0,1.0
8,2.0,1.0,0.3372650146484375,2.0,2.0,2.0,2.0,2.0,1.0
9,1.0,2.0,0.6796722412109375,2.0,2.0,1.0,1.0,2.0,1.0
10,2.0,2.0,0.3468780517578125,2.0,1.0,2.0,1.0,2.0,1.0
11,2.0,2.0,0.5547027587890625,1.0,2.0,2.0,1.0,1.0,1.0
